   index  lev     parent      ncell             peak_x             peak_y             peak_z               rho-               rho+             rho_av            mass_cl          relevance   MLADEN
    2311    1       2304        585    3.152605019E-01    5.632665829E-01    6.638810991E-01    8.003458271E+01    1.450922242E+04    2.750279183E+02    1.083983248E-03    3.363030398E+01   mladen
    2338    0       2304        148    3.310826518E-01    5.664062480E-01    6.676240617E-01    8.065733619E+01    3.532333609E+03    2.907590686E+02    3.357802006E-04    7.477890214E+00   mladen
    2347    0       2347         84    4.050847047E-01    5.064083060E-01    7.031250020E-01    8.282075130E+01    3.180210612E+03    3.203474612E+02    2.171964866E-04    3.975263265E+01   mladen
    2350    0       2350        107    4.851861274E-01    5.202702678E-01    8.496093770E-01    8.636997962E+01    2.962850863E+03    3.388996095E+02    3.231998534E-04    2.697175602E+01   mladen
    2361    0       2361         48    2.418368192E-01    5.361328125E-01    7.744140625E-01    8.178165025E+01    2.639313776E+03    4.588558618E+02    1.640996439E-04    3.299142220E+01   mladen
    2366    0       2366        136    2.805478836E-01    5.439453125E-01    6.582031230E-01    8.027793951E+01    2.536539740E+03    2.524378067E+02    4.137778094E-04    2.470976432E+01   mladen
    2382    0       2294          5    4.228515615E-01    6.577226335E-01    6.626198195E-01    8.858715770E+01    2.180742691E+03    3.129108954E+02    3.497051768E-06    3.338729778E+00   mladen
    2388    0       2388        104    4.765625020E-01    5.001083442E-01    8.466615340E-01    8.024127389E+01    1.995088636E+03    2.984586695E+02    2.779612965E-04    1.816191446E+01   mladen
    2398    0       2398        102    4.769771016E-01    9.884260612E-01    7.721060342E-01    8.098657844E+01    1.753515731E+03    2.350748684E+02    3.012484116E-04    2.191894664E+01   mladen
    2449    0       2449         28    4.389145144E-01    6.445312480E-01    6.689544879E-01    8.311518508E+01    5.985090515E+02    2.019535784E+02    4.213079956E-05    3.216416811E+00   mladen
    2521    0       2521          6    4.154984584E-01    7.865362861E-01    6.914062540E-01    9.017243531E+01    3.641067007E+02    2.167353258E+02    7.751059264E-05    4.551333759E+00   mladen
